"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8A",0,4.06681084529283,0.985,0.186,0
"NKG7",0,2.69140443611607,0.959,0.175,0
"KLRK1",0,3.43274701846088,0.933,0.181,0
"CD8B",0,3.52951783897005,0.832,0.115,0
"CST7",0,2.63227404223788,0.929,0.219,0
"PDCD1",0,3.19363655186037,0.778,0.133,0
"CCL4L1",6.02327159840945e-314,5.26515708359482,0.778,0.146,1.4265516453673e-309
"CCL4L2",6.02327159840945e-314,5.26515708359482,0.778,0.146,1.4265516453673e-309
"GZMK",9.02749002759099e-307,2.83568457618913,0.811,0.162,2.13807073813465e-302
"PRF1",5.28497476239768e-301,2.39133545239992,0.842,0.204,1.25169342272627e-296
"CXCL13",6.12450843466212e-287,2.94258073351314,0.549,0.056,1.45052857766538e-282
"LAG3",1.5069223838469e-285,3.3530510898849,0.622,0.084,3.56899497390301e-281
"CCL4",5.60013361051237e-282,2.9687006867244,0.811,0.173,1.32633564431375e-277
"TOX",3.877483724675e-276,2.88996867231784,0.797,0.18,9.18343245352028e-272
"TIGIT",2.01184771975997e-275,3.0744723764091,0.818,0.201,4.7648601394795e-271
"CCL5",1.224546442139e-271,2.86263628068532,1,0.937,2.90021579356202e-267
"DTHD1",1.35441753299889e-265,3.75004765862602,0.659,0.118,3.20780248515457e-261
"CD27",3.08962953483648e-257,2.65745259604697,0.872,0.263,7.31747859030672e-253
"CTSW",2.05553685447035e-240,2.36361248027845,0.694,0.138,4.86833348612758e-236
"CD2",8.60101104245507e-237,2.11069722196203,0.957,0.348,2.03706345529506e-232
"FCRL3",1.39981985578346e-232,3.21718969407829,0.707,0.166,3.31533334643754e-228
"LYST",1.82566038429776e-232,3.08795142999351,0.962,0.598,4.32389405417082e-228
"CCL3L3",3.75769724117196e-232,3.28866057258841,0.506,0.066,8.89973014599166e-228
"SIRPG",2.44980373830268e-231,2.70521833178118,0.743,0.18,5.80211517379606e-227
"IFNG",6.59177685182145e-231,3.22381233115278,0.543,0.08,1.56119642958539e-226
"GZMA",5.82089989124729e-230,2.10534369173672,0.747,0.166,1.37862193024301e-225
"ITM2A",1.79581753562033e-227,2.59374197706823,0.849,0.284,4.25321425136319e-223
"PRKCH",2.72388622697451e-222,2.5632521067295,0.895,0.342,6.45125213996643e-218
"CBLB",2.10590184400025e-220,3.00290609139721,0.936,0.488,4.98761792733019e-216
"VCAM1",6.18078310049408e-209,3.79925555654646,0.465,0.062,1.46385666952102e-204
"HAVCR2",1.58271974653979e-197,3.93696211929639,0.912,0.642,3.74851344770483e-193
"IL2RB",7.82020796069095e-197,1.80130718242355,0.767,0.23,1.85213805341004e-192
"CD7",1.71815683883099e-194,2.04554752454513,0.747,0.207,4.06928265708732e-190
"IL32",1.88498106988833e-194,1.37294978222954,0.968,0.413,4.46438916592353e-190
"CD3D",5.91627433194914e-192,1.7741061942206,0.943,0.357,1.40121041277884e-187
"KLRC4",2.00726845101787e-191,3.19484736121706,0.534,0.099,4.75401459939073e-187
